 NUM. Tp ...NombreB.. Id  # tg Plnt Nombre Gener.Area %per1 Ploa1 Pind1 PerF1 %per2 Ploa2 Pind2 PerF2 %per3 Ploa3 Pind3 PerF3 %per4 Ploa4 Pind4 PerF4 %per5 Ploa5 Pind5 PerF5 Icca
  110  0 Cienaga110   co                            1                                                                                                                            0
  111  0 Circo115     co                            5                                                                                                                            0
  112  0 Circo220     co                            5                                                                                                                            0
  113  0 Colombia110  co                            2                                                                                                                            0
  114  0 Calera115    co  1  1 1098 H_Sueva2        5                                                                                                                            0
  114  0 Calera115    co  2  1 1153 H_Ventana       5                                                                                                                            0
  115  0 CañoLimon220 co                            4                                                                                                                            0
  116  0 Calizas110   co                            2                                                                                                                            0
  117  0 Chambacu66   co                            1                                                                                                                            0
  118  0 ElCarmen110  co                            1                                                                                                                            0
  119  0 NtpCmnGbt16  co                            1                                                                                                                            0
  120  0 NtpCmnGbt26  co                            1                                                                                                                            0
  121  0 Campobito115 co  1  2 3014 T_Bioenergy     5                                                                                                                            0
  122  0 Cerromoso220 co                            1                                                                                                                            0
  123  0 Conuco115    co                            4                                                                                                                            0
  124  0 Convenion115 co                            4                                                                                                                            0
  125  0 Colegio115   co  1  1  313 DARIO VALENC    5                                                                                                                            0
  126  0 DiacoCOD115  co                            5                                                                                                                            0
  127  0 Concordia115 co                            5                                                                                                                            0
  128  0 Concoria57.5 co                            5                                                                                                                            0
  129  0 Copey1101    co                            1                                                                                                                            0
  130  0 Copey1102    co                            1                                                                                                                            0
  131  0 Copey34.5    co                            1                                                                                                                            0
  132  0 Cordiadad110 co                            1                                                                                                                            0
  133  0 Cordovuia110 co                            2                                                                                                                            0
  134  0 Cospique66   co                            1                                                                                                                            0
  135  0 Compartir115 co                            5                                                                                                                            0
  136  0 Carrera5115  co                            5                                                                                                                            0
  137  0 Caracoli220  co                            1                                                                                                                            0
  138  0 Cerrito115   co  1  1 1003 H_Amaime        3                                                                                                                            0
  138  0 Cerrito115   co  2  2 3026 T_CoProviden    3                                                                                                                            0
  139  0 Carreto66    co                            1                                                                                                                            0
  140  0 Cruzada110   co  1  1 1066 H_Pocune        2                                                                                                                            0
  140  0 Cruzada110   co  2  1 1117 H_AutGCGold     2                                                                                                                            0
  141  0 Corozo220    co                            4                                                                                                                            0
  142  0 Castilla110  co                            2                                                                                                                            0
  143  0 Cerete110    co                            1                                                                                                                            0
  144  0 Cartagena220 co  1  2 1005 CARTAGENA1      1                                                                                                                            0
  144  0 Cartagena220 co  2  2 1006 CARTAGGAS1      1                                                                                                                            0
  144  0 Cartagena220 co  3  2 1007 CARTAGENA2      1                                                                                                                            0
  144  0 Cartagena220 co  4  2 1008 CARTAGGAS2      1                                                                                                                            0
  144  0 Cartagena220 co  5  2 1009 CARTAGENA3      1                                                                                                                            0
  144  0 Cartagena220 co  6  2 1010 CARTAGGAS3      1                                                                                                                            0
